student_id,age,studytime,failures,absences,g1_to_g2_change,avg_g1_g2,sex,address,famsize,Pstatus,schoolsup,famsup,label_at_risk
1,18,2,0,6,1,5.5,0,1,0,0,1,0,1
2,17,2,0,4,0,5.0,0,1,0,1,0,1,1
3,15,2,3,10,1,7.5,0,1,1,1,1,0,0
4,15,3,0,2,-1,14.5,0,1,0,1,0,1,0
5,16,2,0,4,4,8.0,0,1,0,1,0,1,0
6,16,2,0,10,0,15.0,1,1,1,1,0,1,0
7,16,2,0,0,0,12.0,1,1,1,1,0,0,0
8,17,2,0,6,-1,5.5,0,1,0,0,1,1,1
9,15,2,0,0,2,17.0,1,1,1,0,0,1,0
10,15,2,0,0,1,14.5,1,1,0,1,0,1,0
11,15,2,0,0,-2,9.0,0,1,0,1,0,1,1
12,15,3,0,4,2,11.0,0,1,0,1,0,1,0
13,15,1,0,2,0,14.0,1,1,1,1,0,1,0
14,15,2,0,2,0,10.0,1,1,0,1,0,1,0
15,15,3,0,0,2,15.0,1,1,0,0,0,1,0
16,16,1,0,4,0,14.0,0,1,0,1,0,1,0
17,16,3,0,6,1,13.5,0,1,0,1,0,1,0
18,16,2,0,4,2,9.0,0,1,0,1,1,1,0
19,17,1,3,16,-1,5.5,1,1,0,1,0,1,1
20,16,1,0,4,2,9.0,1,1,1,1,0,0,0
21,15,2,0,0,1,13.5,1,1,0,1,0,0,0
22,15,1,0,0,3,13.5,1,1,0,1,0,1,0
23,16,2,0,2,0,15.0,1,1,1,1,0,0,0
24,16,2,0,0,0,13.0,1,1,1,1,0,1,0
25,15,3,0,2,-1,9.5,0,0,0,1,1,1,1
26,16,1,2,14,3,7.5,0,1,0,1,0,1,1
27,15,1,0,2,0,12.0,1,1,0,1,0,1,0
28,15,1,0,4,1,15.5,1,1,0,1,0,0,0
29,16,2,0,4,0,11.0,1,1,1,0,1,1,0
30,16,2,0,16,2,11.0,1,1,0,1,0,1,0
31,15,2,0,0,2,10.0,1,1,0,1,0,1,0
32,15,2,0,0,-1,16.5,1,1,0,1,0,1,0
33,15,2,0,0,-1,16.5,1,0,0,1,0,1,0
34,15,2,0,0,2,9.0,1,1,1,1,0,0,0
35,16,1,0,0,2,13.0,1,1,0,1,0,1,0
36,15,1,0,0,-1,7.5,0,1,0,1,0,1,1
37,15,3,0,2,1,15.5,1,1,1,1,0,1,0
38,16,3,0,7,1,15.5,1,0,0,0,0,1,0
39,15,3,0,2,0,12.0,0,0,0,1,1,1,0
40,15,1,0,8,-1,13.5,0,0,0,1,1,1,0
41,16,2,1,25,3,8.5,0,1,1,1,0,1,0
42,15,1,0,8,0,12.0,1,1,1,1,0,1,0
43,15,2,0,2,-1,18.5,1,1,0,1,0,1,0
44,15,1,0,0,0,8.0,1,1,0,1,1,1,0
45,16,2,1,14,0,10.0,0,1,1,1,1,0,1
46,15,2,0,8,0,8.0,0,1,1,0,1,1,1
47,16,2,0,12,1,11.5,0,1,1,0,0,1,0
48,16,4,0,4,0,19.0,1,1,0,1,0,0,0
49,15,2,0,2,0,15.0,1,1,0,1,0,1,0
50,15,2,1,2,0,7.0,0,1,0,1,1,1,1
51,16,2,0,2,1,12.5,0,1,1,1,0,1,0
52,15,2,0,2,2,12.0,0,1,1,1,0,1,0
53,15,1,1,6,0,11.0,1,1,1,0,0,0,0
54,15,1,0,0,2,9.0,0,1,0,1,1,1,0
55,15,1,0,6,3,11.5,0,1,1,0,0,0,0
56,16,2,0,8,1,8.5,0,1,0,0,0,0,0
57,15,2,0,0,1,14.5,0,1,0,0,0,1,0
58,15,2,0,4,1,14.5,1,1,0,1,0,1,0
59,15,2,0,2,1,9.5,1,1,1,1,1,1,1
60,16,2,0,2,1,15.5,0,1,0,1,0,1,0
61,16,2,0,6,1,10.5,0,0,0,1,0,1,0
62,16,1,0,6,-2,9.0,0,1,0,1,1,1,0
63,16,2,0,4,2,9.0,0,1,1,1,1,0,1
64,16,3,0,2,-1,9.5,0,1,0,1,1,1,1
65,15,2,0,0,0,10.0,0,1,1,1,1,0,0
66,16,2,0,2,-1,15.5,0,1,1,1,0,1,0
67,15,4,0,4,0,13.0,1,1,0,0,0,1,0
68,16,4,0,4,0,7.0,0,1,0,1,1,1,1
69,15,2,0,2,1,8.5,0,0,1,1,1,1,1
70,15,4,0,12,0,16.0,0,0,1,1,0,1,0
71,16,4,0,0,2,14.0,1,1,0,1,0,1,0
72,15,4,0,0,0,10.0,1,1,0,1,0,0,0
73,15,2,2,2,-2,7.0,0,0,0,1,1,1,1
74,16,1,0,2,0,12.0,1,1,0,1,0,0,0
75,16,2,0,54,1,11.5,0,1,0,1,1,1,0
